Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ian-vyse (bc-uncertainty) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.8
wandb: Run data is saved locally in /home/vyseian/GitHub/SAILOR/wandb/run-20260114_191551-p0lotglo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run robomimic__square/seed0_demos299
wandb: ⭐️ View project at https://wandb.ai/bc-uncertainty/SAILOR_robomimic
wandb: 🚀 View run at https://wandb.ai/bc-uncertainty/SAILOR_robomimic/runs/p0lotglo
[robosuite WARNING] No private macro file found! (macros.py:53)
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
[robosuite WARNING] To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
Logdir scratch_dir/logs/robomimic__square/seed0_demos299/seed0
---------------------
Task: robomimic__square
Logging to: scratch_dir/logs/robomimic__square/seed0_demos299/seed0
Time Limit: 500 | Max Env Steps: 756756
---------------------
ROBOMIMIC WARNING(
    No private macro file found!
    It is recommended to use a private macro file
    To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robomimic/scripts/setup_macros.py
)
Initizalizing norm_dict with ob_dim=9 and ac_dim=7
Loaded 299 training episodes
Loaded 1 validation episodes
Min expert demo length: 123
Max expert demo length: 1051
Avg expert demo length: 268.8026755852843
Enviroment State Dim: 9, Action Dim: 7
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Action Space: Box(-1.0, 1.0, (7,), float32). Low: [-1. -1. -1. -1. -1. -1. -1.]. High: [1. 1. 1. 1. 1. 1. 1.]
----------------No base policy path provided, begin training diffusion policy--------------
DiffusionUnet + ResNet18 has 27272407 parameters
Scheduler Initialized:  <data4robotics.trainers.base.CosineAnnealingWarmupRestarts object at 0x7a5cd8ac1660>
DP Step: 0	Log Step: 0	Loss: 68.08232116699219
DP Step: 62100	Log Step: 62100	Loss: 0.7426503896713257
DP Step: 62200	Log Step: 62200	Loss: 1.7273756265640259
DP Step: 62300	Log Step: 62300	Loss: 0.9425235390663147
DP Step: 62400	Log Step: 62400	Loss: 1.1535564661026
DP Step: 62500	Log Step: 62500	Loss: 0.8779891729354858
DP Step: 62600	Log Step: 62600	Loss: 0.6835319995880127
DP Step: 62700	Log Step: 62700	Loss: 1.4589776992797852
DP Step: 62800	Log Step: 62800	Loss: 1.3666741847991943
DP Step: 62900	Log Step: 62900	Loss: 1.3754757642745972
DP Step: 63000	Log Step: 63000	Loss: 1.1002082824707031
DP Step: 63100	Log Step: 63100	Loss: 0.7772185206413269
DP Step: 63200	Log Step: 63200	Loss: 1.4488213062286377
DP Step: 63300	Log Step: 63300	Loss: 1.418839931488037
DP Step: 63400	Log Step: 63400	Loss: 0.8191921710968018
DP Step: 63500	Log Step: 63500	Loss: 0.7493164539337158
DP Step: 63600	Log Step: 63600	Loss: 0.9515688419342041
DP Step: 63700	Log Step: 63700	Loss: 0.6446054577827454
DP Step: 63800	Log Step: 63800	Loss: 1.047914743423462
DP Step: 63900	Log Step: 63900	Loss: 1.0181405544281006
DP Step: 64000	Log Step: 64000	Loss: 0.5695329308509827
DP Step: 64100	Log Step: 64100	Loss: 0.9838329553604126
DP Step: 64200	Log Step: 64200	Loss: 1.2908328771591187
DP Step: 64300	Log Step: 64300	Loss: 1.3599424362182617
DP Step: 64400	Log Step: 64400	Loss: 1.0408670902252197
DP Step: 64500	Log Step: 64500	Loss: 1.7363617420196533
DP Step: 64600	Log Step: 64600	Loss: 0.8540658950805664
DP Step: 64700	Log Step: 64700	Loss: 2.009408950805664
DP Step: 64800	Log Step: 64800	Loss: 1.4159915447235107
DP Step: 64900	Log Step: 64900	Loss: 1.2914421558380127
DP Step: 65000	Log Step: 65000	Loss: 1.915224313735962
DP Step: 65100	Log Step: 65100	Loss: 1.6954021453857422
DP Step: 65200	Log Step: 65200	Loss: 0.9341500997543335
DP Step: 65300	Log Step: 65300	Loss: 1.3713051080703735
DP Step: 65400	Log Step: 65400	Loss: 0.9431350827217102
DP Step: 65500	Log Step: 65500	Loss: 1.3528733253479004
DP Step: 65600	Log Step: 65600	Loss: 1.2381988763809204
DP Step: 65700	Log Step: 65700	Loss: 1.3558794260025024
DP Step: 65800	Log Step: 65800	Loss: 1.755672812461853
DP Step: 65900	Log Step: 65900	Loss: 1.0354259014129639
DP Step: 66000	Log Step: 66000	Loss: 0.6315038204193115
DP Step: 66100	Log Step: 66100	Loss: 1.6118371486663818
DP Step: 66200	Log Step: 66200	Loss: 1.4302241802215576
DP Step: 66300	Log Step: 66300	Loss: 1.2951359748840332
DP Step: 66400	Log Step: 66400	Loss: 1.1864612102508545
DP Step: 66500	Log Step: 66500	Loss: 1.6460425853729248
DP Step: 66600	Log Step: 66600	Loss: 1.6982617378234863
DP Step: 66700	Log Step: 66700	Loss: 1.0705841779708862
DP Step: 66800	Log Step: 66800	Loss: 1.6490654945373535
DP Step: 66900	Log Step: 66900	Loss: 0.9540984630584717
DP Step: 67000	Log Step: 67000	Loss: 1.0542378425598145
DP Step: 67100	Log Step: 67100	Loss: 1.3359534740447998
DP Step: 67200	Log Step: 67200	Loss: 1.7050453424453735
DP Step: 67300	Log Step: 67300	Loss: 1.0749387741088867
DP Step: 67400	Log Step: 67400	Loss: 1.0464503765106201
DP Step: 67500	Log Step: 67500	Loss: 1.0975840091705322
DP Step: 67600	Log Step: 67600	Loss: 1.0125421285629272
DP Step: 67700	Log Step: 67700	Loss: 0.6806758642196655
DP Step: 67800	Log Step: 67800	Loss: 1.1779489517211914
DP Step: 67900	Log Step: 67900	Loss: 1.4528191089630127
DP Step: 68000	Log Step: 68000	Loss: 0.9182103872299194
DP Step: 68100	Log Step: 68100	Loss: 1.1002147197723389
DP Step: 68200	Log Step: 68200	Loss: 1.6173412799835205
DP Step: 68300	Log Step: 68300	Loss: 1.145824670791626
DP Step: 68400	Log Step: 68400	Loss: 0.9926565885543823
DP Step: 68500	Log Step: 68500	Loss: 1.5526349544525146
DP Step: 68600	Log Step: 68600	Loss: 1.2323132753372192
DP Step: 68700	Log Step: 68700	Loss: 1.657487392425537
DP Step: 68800	Log Step: 68800	Loss: 1.8157272338867188
DP Step: 68900	Log Step: 68900	Loss: 0.7204059362411499
DP Step: 69000	Log Step: 69000	Loss: 0.7439520359039307
DP Step: 69100	Log Step: 69100	Loss: 1.218562364578247
DP Step: 69200	Log Step: 69200	Loss: 0.8885158896446228
DP Step: 69300	Log Step: 69300	Loss: 0.9084975719451904
DP Step: 69400	Log Step: 69400	Loss: 0.816257119178772
DP Step: 69500	Log Step: 69500	Loss: 0.6933371424674988
DP Step: 69600	Log Step: 69600	Loss: 1.2816632986068726
DP Step: 69700	Log Step: 69700	Loss: 1.1887356042861938
DP Step: 69800	Log Step: 69800	Loss: 1.3204551935195923
DP Step: 69900	Log Step: 69900	Loss: 0.6004416942596436
DP Step: 70000	Log Step: 70000	Loss: 0.964480996131897
DP Step: 70100	Log Step: 70100	Loss: 0.49696850776672363
DP Step: 70200	Log Step: 70200	Loss: 1.1396946907043457
DP Step: 70300	Log Step: 70300	Loss: 1.1800990104675293
DP Step: 70400	Log Step: 70400	Loss: 0.8864270448684692
DP Step: 70500	Log Step: 70500	Loss: 0.5947405099868774
DP Step: 70600	Log Step: 70600	Loss: 0.8866080045700073
DP Step: 70700	Log Step: 70700	Loss: 0.7897727489471436
DP Step: 70800	Log Step: 70800	Loss: 0.684834361076355
DP Step: 70900	Log Step: 70900	Loss: 0.925633430480957
DP Step: 71000	Log Step: 71000	Loss: 0.6180624961853027
DP Step: 71100	Log Step: 71100	Loss: 0.9843724966049194
DP Step: 71200	Log Step: 71200	Loss: 1.4294639825820923
DP Step: 71300	Log Step: 71300	Loss: 0.8412430882453918
DP Step: 71400	Log Step: 71400	Loss: 1.310707926750183
DP Step: 71500	Log Step: 71500	Loss: 0.7814314365386963
DP Step: 71600	Log Step: 71600	Loss: 1.132991075515747
DP Step: 71700	Log Step: 71700	Loss: 0.5433751940727234
DP Step: 71800	Log Step: 71800	Loss: 0.5766371488571167
DP Step: 71900	Log Step: 71900	Loss: 0.7991167902946472
DP Step: 72000	Log Step: 72000	Loss: 0.753340482711792
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.4816501798071902
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.6
	Average Total Reward: -223.66779634776418
	Average Episode Length: 337.7
	Average Total Orig Reward: 114.63220365223576
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.6
	Average Total Reward: -237.26787769449248
	Average Episode Length: 333.5
	Average Total Orig Reward: 96.83212230550757
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.7
	Average Total Reward: -261.24658891513843
	Average Episode Length: 330.1
	Average Total Orig Reward: 69.55341108486162
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.7
	Average Total Reward: -225.593055294342
	Average Episode Length: 326.1
	Average Total Orig Reward: 101.20694470565783
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.7
	Average Total Reward: -250.2034430849754
	Average Episode Length: 319.2
	Average Total Orig Reward: 69.69655691502473
Average Success Rate: 0.6599999999999999
Average Total Average Reward: -239.5957522673425
Average Episode Length: 329.32000000000005
Average Total Average Orig Reward: 90.38424773265751
Time taken: 377.84475469589233
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 72000
DP Step: 72100	Log Step: 72100	Loss: 1.0612776279449463
DP Step: 72200	Log Step: 72200	Loss: 1.9910341501235962
DP Step: 72300	Log Step: 72300	Loss: 1.0826642513275146
DP Step: 72400	Log Step: 72400	Loss: 1.704925537109375
DP Step: 72500	Log Step: 72500	Loss: 1.3770430088043213
DP Step: 72600	Log Step: 72600	Loss: 0.8233566284179688
DP Step: 72700	Log Step: 72700	Loss: 1.3707575798034668
DP Step: 72800	Log Step: 72800	Loss: 1.7024269104003906
DP Step: 72900	Log Step: 72900	Loss: 1.2829326391220093
DP Step: 73000	Log Step: 73000	Loss: 1.0375216007232666
DP Step: 73100	Log Step: 73100	Loss: 1.2155957221984863
DP Step: 73200	Log Step: 73200	Loss: 1.0924479961395264
DP Step: 73300	Log Step: 73300	Loss: 1.6791342496871948
DP Step: 73400	Log Step: 73400	Loss: 1.7898579835891724
DP Step: 73500	Log Step: 73500	Loss: 1.4596954584121704
DP Step: 73600	Log Step: 73600	Loss: 1.378378987312317
DP Step: 73700	Log Step: 73700	Loss: 1.1683579683303833
DP Step: 73800	Log Step: 73800	Loss: 1.3145660161972046
DP Step: 73900	Log Step: 73900	Loss: 1.618436336517334
DP Step: 74000	Log Step: 74000	Loss: 0.9300050735473633
DP Step: 74100	Log Step: 74100	Loss: 1.0701662302017212
DP Step: 74200	Log Step: 74200	Loss: 2.0678858757019043
DP Step: 74300	Log Step: 74300	Loss: 1.2649376392364502
DP Step: 74400	Log Step: 74400	Loss: 1.249624490737915
DP Step: 74500	Log Step: 74500	Loss: 1.0270802974700928
DP Step: 74600	Log Step: 74600	Loss: 1.1063919067382812
DP Step: 74700	Log Step: 74700	Loss: 1.7872933149337769
DP Step: 74800	Log Step: 74800	Loss: 1.5871140956878662
DP Step: 74900	Log Step: 74900	Loss: 1.2014721632003784
DP Step: 75000	Log Step: 75000	Loss: 1.242656946182251
DP Step: 75100	Log Step: 75100	Loss: 0.8338194489479065
DP Step: 75200	Log Step: 75200	Loss: 1.6407252550125122
DP Step: 75300	Log Step: 75300	Loss: 1.1887784004211426
DP Step: 75400	Log Step: 75400	Loss: 1.0772464275360107
DP Step: 75500	Log Step: 75500	Loss: 0.9110632538795471
DP Step: 75600	Log Step: 75600	Loss: 0.8922081589698792
DP Step: 75700	Log Step: 75700	Loss: 0.6668010950088501
DP Step: 75800	Log Step: 75800	Loss: 1.443082571029663
DP Step: 75900	Log Step: 75900	Loss: 1.219943642616272
DP Step: 76000	Log Step: 76000	Loss: 0.6792138814926147
DP Step: 76100	Log Step: 76100	Loss: 1.02642822265625
DP Step: 76200	Log Step: 76200	Loss: 0.890591025352478
DP Step: 76300	Log Step: 76300	Loss: 0.8460599184036255
DP Step: 76400	Log Step: 76400	Loss: 0.9060556888580322
DP Step: 76500	Log Step: 76500	Loss: 1.1015290021896362
DP Step: 76600	Log Step: 76600	Loss: 0.5218565464019775
DP Step: 76700	Log Step: 76700	Loss: 1.776321530342102
DP Step: 76800	Log Step: 76800	Loss: 1.148574709892273
DP Step: 76900	Log Step: 76900	Loss: 0.9416722059249878
DP Step: 77000	Log Step: 77000	Loss: 1.10951566696167
DP Step: 77100	Log Step: 77100	Loss: 1.31187105178833
DP Step: 77200	Log Step: 77200	Loss: 0.7707834243774414
DP Step: 77300	Log Step: 77300	Loss: 0.669338583946228
DP Step: 77400	Log Step: 77400	Loss: 0.4003572463989258
DP Step: 77500	Log Step: 77500	Loss: 0.9090586304664612
DP Step: 77600	Log Step: 77600	Loss: 0.8196910619735718
DP Step: 77700	Log Step: 77700	Loss: 0.9267714023590088
DP Step: 77800	Log Step: 77800	Loss: 1.2668542861938477
DP Step: 77900	Log Step: 77900	Loss: 0.6028672456741333
DP Step: 78000	Log Step: 78000	Loss: 0.79819655418396
DP Step: 78100	Log Step: 78100	Loss: 1.1958227157592773
DP Step: 78200	Log Step: 78200	Loss: 1.080017328262329
DP Step: 78300	Log Step: 78300	Loss: 0.7411185503005981
DP Step: 78400	Log Step: 78400	Loss: 0.8835986852645874
DP Step: 78500	Log Step: 78500	Loss: 0.877405047416687
DP Step: 78600	Log Step: 78600	Loss: 1.4692928791046143
DP Step: 78700	Log Step: 78700	Loss: 0.6199527978897095
DP Step: 78800	Log Step: 78800	Loss: 0.9597058296203613
DP Step: 78900	Log Step: 78900	Loss: 0.7320525646209717
DP Step: 79000	Log Step: 79000	Loss: 0.770243763923645
DP Step: 79100	Log Step: 79100	Loss: 0.7287458181381226
DP Step: 79200	Log Step: 79200	Loss: 1.1997138261795044
DP Step: 79300	Log Step: 79300	Loss: 0.9751666784286499
DP Step: 79400	Log Step: 79400	Loss: 0.9296918511390686
DP Step: 79500	Log Step: 79500	Loss: 0.9977622032165527
DP Step: 79600	Log Step: 79600	Loss: 0.5019985437393188
DP Step: 79700	Log Step: 79700	Loss: 0.4131943881511688
DP Step: 79800	Log Step: 79800	Loss: 0.7952682971954346
DP Step: 79900	Log Step: 79900	Loss: 1.1037216186523438
DP Step: 80000	Log Step: 80000	Loss: 0.6881303787231445
DP Step: 80100	Log Step: 80100	Loss: 1.0964230298995972
DP Step: 80200	Log Step: 80200	Loss: 1.4811772108078003
DP Step: 80300	Log Step: 80300	Loss: 1.104390025138855
DP Step: 80400	Log Step: 80400	Loss: 0.7587389945983887
DP Step: 80500	Log Step: 80500	Loss: 1.5133352279663086
DP Step: 80600	Log Step: 80600	Loss: 1.3247976303100586
DP Step: 80700	Log Step: 80700	Loss: 1.7688846588134766
DP Step: 80800	Log Step: 80800	Loss: 1.6503651142120361
DP Step: 80900	Log Step: 80900	Loss: 1.0175782442092896
DP Step: 81000	Log Step: 81000	Loss: 0.8070011138916016
DP Step: 81100	Log Step: 81100	Loss: 1.6063437461853027
DP Step: 81200	Log Step: 81200	Loss: 0.8692289590835571
DP Step: 81300	Log Step: 81300	Loss: 1.2492294311523438
DP Step: 81400	Log Step: 81400	Loss: 0.8179455995559692
DP Step: 81500	Log Step: 81500	Loss: 1.100724220275879
DP Step: 81600	Log Step: 81600	Loss: 1.3277205228805542
DP Step: 81700	Log Step: 81700	Loss: 1.2302510738372803
DP Step: 81800	Log Step: 81800	Loss: 1.3277308940887451
DP Step: 81900	Log Step: 81900	Loss: 0.7239581942558289
DP Step: 82000	Log Step: 82000	Loss: 1.0290791988372803
DP Step: 82100	Log Step: 82100	Loss: 0.8213667869567871
DP Step: 82200	Log Step: 82200	Loss: 1.5587447881698608
DP Step: 82300	Log Step: 82300	Loss: 1.8202829360961914
DP Step: 82400	Log Step: 82400	Loss: 0.8794373273849487
DP Step: 82500	Log Step: 82500	Loss: 0.9205583333969116
DP Step: 82600	Log Step: 82600	Loss: 1.0646570920944214
DP Step: 82700	Log Step: 82700	Loss: 1.2450430393218994
DP Step: 82800	Log Step: 82800	Loss: 0.8682104349136353
DP Step: 82900	Log Step: 82900	Loss: 1.194638967514038
DP Step: 83000	Log Step: 83000	Loss: 0.8030861020088196
DP Step: 83100	Log Step: 83100	Loss: 1.3024827241897583
DP Step: 83200	Log Step: 83200	Loss: 1.362622618675232
DP Step: 83300	Log Step: 83300	Loss: 0.8954153656959534
DP Step: 83400	Log Step: 83400	Loss: 1.1929090023040771
DP Step: 83500	Log Step: 83500	Loss: 1.0046288967132568
DP Step: 83600	Log Step: 83600	Loss: 1.1632957458496094
DP Step: 83700	Log Step: 83700	Loss: 0.8367224931716919
DP Step: 83800	Log Step: 83800	Loss: 0.6201379895210266
DP Step: 83900	Log Step: 83900	Loss: 1.1498124599456787
DP Step: 84000	Log Step: 84000	Loss: 1.1302465200424194
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.559279587939589
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.6
	Average Total Reward: -273.53293537420825
	Average Episode Length: 368.1
	Average Total Orig Reward: 95.16706462579165
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.6
	Average Total Reward: -290.65852842334505
	Average Episode Length: 360.4
	Average Total Orig Reward: 70.34147157665505
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.5
	Average Total Reward: -318.2025926999034
	Average Episode Length: 364.8
	Average Total Orig Reward: 47.09740730009669
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.8
	Average Total Reward: -228.76818760878024
	Average Episode Length: 322.6
	Average Total Orig Reward: 94.6318123912197
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.6
	Average Total Reward: -307.16526134781157
	Average Episode Length: 406.4
	Average Total Orig Reward: 99.83473865218852
Average Success Rate: 0.62
Average Total Average Reward: -283.6655010908097
Average Episode Length: 364.46000000000004
Average Total Average Orig Reward: 81.41449890919031
Time taken: 393.97464966773987
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 84000
DP Step: 84100	Log Step: 84100	Loss: 1.0431621074676514
DP Step: 84200	Log Step: 84200	Loss: 1.2095537185668945
DP Step: 84300	Log Step: 84300	Loss: 0.8456066846847534
DP Step: 84400	Log Step: 84400	Loss: 1.2744896411895752
DP Step: 84500	Log Step: 84500	Loss: 0.9211755394935608
DP Step: 84600	Log Step: 84600	Loss: 0.860992431640625
DP Step: 84700	Log Step: 84700	Loss: 1.204315423965454
DP Step: 84800	Log Step: 84800	Loss: 1.1298153400421143
DP Step: 84900	Log Step: 84900	Loss: 1.1736966371536255
DP Step: 85000	Log Step: 85000	Loss: 0.8428057432174683
DP Step: 85100	Log Step: 85100	Loss: 0.8679525852203369
DP Step: 85200	Log Step: 85200	Loss: 0.8612498641014099
DP Step: 85300	Log Step: 85300	Loss: 1.0971834659576416
DP Step: 85400	Log Step: 85400	Loss: 1.2624735832214355
DP Step: 85500	Log Step: 85500	Loss: 0.9286988377571106
DP Step: 85600	Log Step: 85600	Loss: 1.2135236263275146
DP Step: 85700	Log Step: 85700	Loss: 0.9491490125656128
DP Step: 85800	Log Step: 85800	Loss: 0.8877171277999878
DP Step: 85900	Log Step: 85900	Loss: 1.425872802734375
DP Step: 86000	Log Step: 86000	Loss: 0.6537630558013916
DP Step: 86100	Log Step: 86100	Loss: 0.5885684490203857
DP Step: 86200	Log Step: 86200	Loss: 1.3555614948272705
DP Step: 86300	Log Step: 86300	Loss: 0.7920222282409668
DP Step: 86400	Log Step: 86400	Loss: 0.7582563161849976
DP Step: 86500	Log Step: 86500	Loss: 0.8162351846694946
DP Step: 86600	Log Step: 86600	Loss: 0.8640603423118591
DP Step: 86700	Log Step: 86700	Loss: 1.2501108646392822
DP Step: 86800	Log Step: 86800	Loss: 0.9665848612785339
DP Step: 86900	Log Step: 86900	Loss: 1.1100287437438965
DP Step: 87000	Log Step: 87000	Loss: 0.5830091834068298
DP Step: 87100	Log Step: 87100	Loss: 0.669472873210907
DP Step: 87200	Log Step: 87200	Loss: 1.0942094326019287
DP Step: 87300	Log Step: 87300	Loss: 1.1285616159439087
DP Step: 87400	Log Step: 87400	Loss: 0.7832658886909485
DP Step: 87500	Log Step: 87500	Loss: 0.5027123689651489
DP Step: 87600	Log Step: 87600	Loss: 0.6713932156562805
DP Step: 87700	Log Step: 87700	Loss: 0.7553638219833374
DP Step: 87800	Log Step: 87800	Loss: 0.8536635637283325
DP Step: 87900	Log Step: 87900	Loss: 0.9887478947639465
DP Step: 88000	Log Step: 88000	Loss: 0.5440607070922852
DP Step: 88100	Log Step: 88100	Loss: 0.7998363375663757
DP Step: 88200	Log Step: 88200	Loss: 1.070960521697998
DP Step: 88300	Log Step: 88300	Loss: 1.1395083665847778
DP Step: 88400	Log Step: 88400	Loss: 0.8359205722808838
DP Step: 88500	Log Step: 88500	Loss: 1.1645689010620117
DP Step: 88600	Log Step: 88600	Loss: 0.6851874589920044
DP Step: 88700	Log Step: 88700	Loss: 1.1918275356292725
DP Step: 88800	Log Step: 88800	Loss: 1.0770366191864014
DP Step: 88900	Log Step: 88900	Loss: 1.121689796447754
DP Step: 89000	Log Step: 89000	Loss: 1.4322314262390137
DP Step: 89100	Log Step: 89100	Loss: 1.3805127143859863
DP Step: 89200	Log Step: 89200	Loss: 0.8284326791763306
DP Step: 89300	Log Step: 89300	Loss: 0.7392575144767761
DP Step: 89400	Log Step: 89400	Loss: 0.6368613243103027
DP Step: 89500	Log Step: 89500	Loss: 0.9862043857574463
DP Step: 89600	Log Step: 89600	Loss: 1.154714822769165
DP Step: 89700	Log Step: 89700	Loss: 1.4179120063781738
DP Step: 89800	Log Step: 89800	Loss: 1.5801947116851807
DP Step: 89900	Log Step: 89900	Loss: 0.9156214594841003
DP Step: 90000	Log Step: 90000	Loss: 0.7088805437088013
DP Step: 90100	Log Step: 90100	Loss: 1.2590703964233398
DP Step: 90200	Log Step: 90200	Loss: 1.503495454788208
DP Step: 90300	Log Step: 90300	Loss: 0.9996062517166138
DP Step: 90400	Log Step: 90400	Loss: 1.1898568868637085
DP Step: 90500	Log Step: 90500	Loss: 1.4419660568237305
DP Step: 90600	Log Step: 90600	Loss: 1.465362548828125
DP Step: 90700	Log Step: 90700	Loss: 0.9003775119781494
DP Step: 90800	Log Step: 90800	Loss: 1.1696428060531616
DP Step: 90900	Log Step: 90900	Loss: 0.8456264138221741
DP Step: 91000	Log Step: 91000	Loss: 0.9268515110015869
DP Step: 91100	Log Step: 91100	Loss: 1.2169969081878662
DP Step: 91200	Log Step: 91200	Loss: 1.6225998401641846
DP Step: 91300	Log Step: 91300	Loss: 1.0231702327728271
DP Step: 91400	Log Step: 91400	Loss: 1.0059696435928345
DP Step: 91500	Log Step: 91500	Loss: 0.9194611310958862
DP Step: 91600	Log Step: 91600	Loss: 0.8093334436416626
DP Step: 91700	Log Step: 91700	Loss: 0.4308748245239258
DP Step: 91800	Log Step: 91800	Loss: 1.008615255355835
DP Step: 91900	Log Step: 91900	Loss: 1.3047499656677246
DP Step: 92000	Log Step: 92000	Loss: 0.876804530620575
DP Step: 92100	Log Step: 92100	Loss: 1.1938776969909668
DP Step: 92200	Log Step: 92200	Loss: 1.5371149778366089
DP Step: 92300	Log Step: 92300	Loss: 0.9321466684341431
DP Step: 92400	Log Step: 92400	Loss: 0.6835976839065552
DP Step: 92500	Log Step: 92500	Loss: 1.5497304201126099
DP Step: 92600	Log Step: 92600	Loss: 0.9133319854736328
DP Step: 92700	Log Step: 92700	Loss: 1.6711831092834473
DP Step: 92800	Log Step: 92800	Loss: 1.5918165445327759
DP Step: 92900	Log Step: 92900	Loss: 0.9452733993530273
DP Step: 93000	Log Step: 93000	Loss: 0.431180864572525
DP Step: 93100	Log Step: 93100	Loss: 1.8159428834915161
DP Step: 93200	Log Step: 93200	Loss: 0.809546709060669
DP Step: 93300	Log Step: 93300	Loss: 0.7299789190292358
DP Step: 93400	Log Step: 93400	Loss: 0.8390198349952698
DP Step: 93500	Log Step: 93500	Loss: 0.7296667098999023
DP Step: 93600	Log Step: 93600	Loss: 1.1701452732086182
DP Step: 93700	Log Step: 93700	Loss: 1.126518964767456
DP Step: 93800	Log Step: 93800	Loss: 0.9282352328300476
DP Step: 93900	Log Step: 93900	Loss: 0.4464464485645294
DP Step: 94000	Log Step: 94000	Loss: 0.593207836151123
DP Step: 94100	Log Step: 94100	Loss: 0.510657787322998
DP Step: 94200	Log Step: 94200	Loss: 0.9922440648078918
DP Step: 94300	Log Step: 94300	Loss: 1.2284458875656128
DP Step: 94400	Log Step: 94400	Loss: 0.5352351665496826
DP Step: 94500	Log Step: 94500	Loss: 0.6060548424720764
DP Step: 94600	Log Step: 94600	Loss: 1.0110125541687012
DP Step: 94700	Log Step: 94700	Loss: 0.9991483688354492
DP Step: 94800	Log Step: 94800	Loss: 0.45597952604293823
DP Step: 94900	Log Step: 94900	Loss: 0.771958589553833
DP Step: 95000	Log Step: 95000	Loss: 0.38112252950668335
DP Step: 95100	Log Step: 95100	Loss: 0.6712008714675903
DP Step: 95200	Log Step: 95200	Loss: 0.7776285409927368
DP Step: 95300	Log Step: 95300	Loss: 0.670166015625
DP Step: 95400	Log Step: 95400	Loss: 1.0551764965057373
DP Step: 95500	Log Step: 95500	Loss: 0.6126431226730347
DP Step: 95600	Log Step: 95600	Loss: 1.0553447008132935
DP Step: 95700	Log Step: 95700	Loss: 0.6266664266586304
DP Step: 95800	Log Step: 95800	Loss: 0.32065099477767944
DP Step: 95900	Log Step: 95900	Loss: 0.8366156816482544
DP Step: 96000	Log Step: 96000	Loss: 0.789045512676239
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.531713629167392
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
